,Type,Price,advance,Monthly installment,Remaining installments,Location,Baths,Area,Purpose,Beds,Creation date,Amenities
0,Plot File,PKR22.5 Lakh,PKR2.25 Lakh,PKR17 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
1,Residential Plot,PKR37.5 Lakh,PKR3.75 Lakh,PKR27.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,2 weeks ago,
2,Plot File,PKR4 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,7 Marla,For Sale,-,3 days ago,"Corner,Park Facing,File,Sewerage,Electricity,Security Staff"
3,Plot File,PKR10 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,4 Marla,For Sale,-,3 days ago,
4,Residential Plot,PKR22.5 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,1 day ago,
5,Residential Plot,PKR48 Lakh,PKR4.8 Lakh,PKR1.44 Lakh,30 Months,"Zaitoon City, Lahore, Punjab",-,7 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
6,Residential Plot,PKR37.5 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
7,Residential Plot,PKR22.5 Lakh,PKR2.25 Lakh,PKR22.5 Thousand,30 Months,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,2 days ago,"File,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall"
8,Residential Plot,PKR35 Lakh,PKR3.5 Lakh,PKR27.5 Thousand,48 Months,"Zaitoon City, Lahore, Punjab",3,5 Marla,For Sale,3,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places"
9,Residential Plot,PKR37.5 Lakh,PKR3.75 Lakh,PKR27.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Possesion,Corner,Park Facing,Balloted,Sewerage,Electricity,Water Supply,Boundary Wall,Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Security Staff,Other Facilities"
10,Residential Plot,PKR35 Lakh,PKR3.5 Lakh,PKR27.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,2 days ago,"Nearby Schools,Nearby Hospitals,Nearby Shopping Malls,Nearby Restaurants,Distance From Airport (kms),Nearby Public Transport Service,Other Nearby Places,Other Facilities"
11,Plot File,PKR3.75 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
12,Plot File,PKR3.75 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
13,Residential Plot,PKR34 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,3 days ago,
14,Plot File,PKR37.5 Lakh,PKR2 Lakh,PKR27.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
15,Commercial Plot,PKR1.2 Crore,,,,"Zaitoon City, Lahore, Punjab",-,4 Marla,For Sale,-,6 hours ago,
16,Residential Plot,PKR48 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,7 Marla,For Sale,-,6 hours ago,
17,Residential Plot,PKR37.5 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,6 hours ago,
18,Plot File,PKR2.7 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
19,Plot File,PKR7.2 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,8 Marla,For Sale,-,6 days ago,
20,Plot File,PKR4.5 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
21,Residential Plot,PKR72 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,8 Marla,For Sale,-,6 days ago,
22,Residential Plot,PKR45 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,6 days ago,
23,Residential Plot,PKR27 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,6 days ago,
24,Plot File,PKR48 Lakh,PKR4.8 Lakh,PKR39.76 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,7 Marla,For Sale,-,1 week ago,"File,Sewerage,Electricity,Water Supply"
25,Plot File,PKR1.7 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,1 week ago,
26,Plot File,PKR22 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,2 weeks ago,
27,Commercial Plot,PKR2.4 Crore,PKR1.3 Crore,PKR5.2 Lakh,21 Months,"Zaitoon City, Lahore, Punjab",-,6 Marla,For Sale,-,2 weeks ago,
28,Plot File,PKR1.3 Crore,PKR13 Lakh,PKR97 Thousand,36 Months,"Zaitoon City, Lahore, Punjab",-,1 Kanal,For Sale,-,3 weeks ago,
29,Commercial Plot,PKR1.02 Crore,PKR15.3 Lakh,PKR93.33 Thousand,36 Months,"Zaitoon City, Lahore, Punjab",-,4 Marla,For Sale,-,1 month ago,
30,Plot File,PKR37.5 Lakh,PKR3.75 Lakh,PKR27.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,2 months ago,
31,Plot File,PKR22.5 Lakh,PKR2.25 Lakh,PKR17.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,
32,Plot File,PKR22.5 Lakh,PKR2.25 Lakh,PKR17.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,2 months ago,
33,Residential Plot,PKR1.3 Crore,PKR13 Lakh,PKR97.5 Thousand,42 Months,"Zaitoon City, Lahore, Punjab",-,1 Kanal,For Sale,-,2 months ago,
34,Residential Plot,PKR21 Lakh,PKR4.75 Lakh,PKR17 Thousand,33 Months,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,5 months ago,"Possesion,Corner,Park Facing,Disputed,File,Balloted,Sewerage,Electricity,Water Supply,Sui Gas"
35,Residential Plot,PKR22.5 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,4.4 Marla,For Sale,-,5 months ago,
36,Plot File,PKR2.25 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,3 Marla,For Sale,-,6 months ago,
37,Plot File,PKR1.5 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,6 months ago,
38,Plot File,PKR2.25 Lakh,,,,"Zaitoon City, Lahore, Punjab",-,5 Marla,For Sale,-,7 months ago,
